t(s),vx(m/s),vy(m/s),vz(m/s),r(deg),p(deg),y(deg),lat(deg),lon(deg),alt(m),heading(deg),b(V),b(A),b(%)
23.2826886177063,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
23.48347306251526,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
23.683937311172485,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
23.884402751922607,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
24.084967613220215,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
24.285990715026855,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
24.48721981048584,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
24.687684297561646,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
24.888240814208984,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
25.089277029037476,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
25.29040503501892,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
25.49063801765442,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
25.691102266311646,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
25.892133474349976,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
26.09259581565857,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
26.293668508529663,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
26.49413800239563,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
26.694620847702026,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
26.895084857940674,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
27.095548629760742,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
27.29601216316223,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
27.49699306488037,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
27.69724416732788,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
27.89773178100586,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
28.09827470779419,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
28.298738718032837,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
28.499828577041626,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
28.70076823234558,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
28.901808738708496,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
29.1022732257843,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
29.303291082382202,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
29.503543853759766,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
29.70399808883667,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
29.90430784225464,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
30.105313301086426,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
30.306472539901733,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
30.507527351379395,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
30.707991361618042,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
30.90896987915039,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
31.109434127807617,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
31.309903621673584,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
31.510368824005127,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
31.71140217781067,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
31.9123957157135,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
32.11335730552673,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
32.313939571380615,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
32.51481008529663,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
32.715564250946045,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
32.91662001609802,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
33.117050886154175,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
33.31751561164856,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
33.51864743232727,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
33.719111919403076,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
33.91957926750183,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
34.120006799697876,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
34.32047247886658,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
34.52093577384949,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
34.72139930725098,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
34.922160387039185,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
35.12258863449097,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
35.32308602333069,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
35.52409601211548,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
35.725138664245605,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
35.92613410949707,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
36.127174854278564,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
36.32826852798462,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
36.528764963150024,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
36.72983384132385,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
36.931007385253906,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
37.13197469711304,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
37.332913398742676,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
37.53383755683899,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
37.73487424850464,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
37.935874938964844,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
38.136394023895264,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
38.33716082572937,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
